atc_metric,performance_metric,spearman_correlation,spearman_p_value,pearson_correlation,pearson_p_value,sample_size
pychord_atc_score,f_measure,-0.12996804575713441,5.2110727151663185e-25,-0.09654752605519715,1.8844470779642906e-14,6265
pychord_atc_score,precision,-0.11381447618497027,1.6222378319857184e-19,-0.0881170733706612,2.811813282407703e-12,6265
pychord_atc_score,recall,-0.1524255003153488,7.035808091189508e-34,-0.09753783492954103,1.0162700159682934e-14,6265
pychord_atc_score,average_overlap_ratio,-0.3324793881064339,1.467954897934341e-161,-0.3324095258153342,1.729121812809045e-161,6265
pychord_atc_score,f_measure_no_offset,-0.2567628125368815,6.923885141569491e-95,-0.3169888666262368,3.046693762849261e-146,6265
pychord_atc_score,precision_no_offset,-0.2003228434300102,9.98667803517559e-58,-0.30256579958994684,8.863256841137766e-133,6265
pychord_atc_score,recall_no_offset,-0.2817872419209071,1.0841063265835584e-114,-0.3293160359688411,2.333837219159946e-158,6265
pychord_atc_score,onset_f_measure,-0.21751551427636776,5.58896702825156e-68,-0.2766257401540537,1.969489430820786e-110,6265
pychord_atc_score,offset_f_measure,-0.1277521370970478,3.2662129188286983e-24,-0.10719362280855001,1.77890264355496e-17,6265
chordino_atc_score,f_measure,-0.1654507302741877,1.0839741377030793e-39,-0.07601134669240919,1.7021431131761577e-09,6265
chordino_atc_score,precision,-0.15405749253440945,1.4000790841458392e-34,-0.07052224436616533,2.2996000661743203e-08,6265
chordino_atc_score,recall,-0.18148361469024896,1.567715548034552e-47,-0.07558815531248933,2.094387271973979e-09,6265
chordino_atc_score,average_overlap_ratio,-0.26895901509005693,2.835440518105241e-104,-0.18746385769108762,1.1882040936161864e-50,6265
chordino_atc_score,f_measure_no_offset,-0.21424469037149035,5.866172665536861e-66,-0.1965464485095749,1.3472490479411332e-55,6265
chordino_atc_score,precision_no_offset,-0.17176196208869338,1.0960814351477984e-42,-0.18586800712410947,8.280996296311351e-50,6265
chordino_atc_score,recall_no_offset,-0.24805293350921795,1.7459298040009664e-88,-0.20449493169977884,3.9396802950475e-60,6265
chordino_atc_score,onset_f_measure,-0.17771662069459077,1.2759873518086181e-45,-0.1625518054719341,2.3523864368928544e-38,6265
chordino_atc_score,offset_f_measure,-0.17864216270502195,4.3686267577019366e-46,-0.07132944335370678,1.586619349773116e-08,6265
pychord_rccd_score,f_measure,-0.12996804575713441,5.2110727151663185e-25,-0.09654752605519715,1.8844470779642906e-14,6265
pychord_rccd_score,precision,-0.11381447618497027,1.6222378319857184e-19,-0.0881170733706612,2.811813282407703e-12,6265
pychord_rccd_score,recall,-0.1524255003153488,7.035808091189508e-34,-0.09753783492954103,1.0162700159682934e-14,6265
pychord_rccd_score,average_overlap_ratio,-0.3324793881064339,1.467954897934341e-161,-0.3324095258153342,1.729121812809045e-161,6265
pychord_rccd_score,f_measure_no_offset,-0.2567628125368815,6.923885141569491e-95,-0.3169888666262368,3.046693762849261e-146,6265
pychord_rccd_score,precision_no_offset,-0.2003228434300102,9.98667803517559e-58,-0.30256579958994684,8.863256841137766e-133,6265
pychord_rccd_score,recall_no_offset,-0.2817872419209071,1.0841063265835584e-114,-0.3293160359688411,2.333837219159946e-158,6265
pychord_rccd_score,onset_f_measure,-0.21751551427636776,5.58896702825156e-68,-0.2766257401540537,1.969489430820786e-110,6265
pychord_rccd_score,offset_f_measure,-0.1277521370970478,3.2662129188286983e-24,-0.10719362280855001,1.77890264355496e-17,6265
chordino_rccd_score,f_measure,-0.1654507302741877,1.0839741377030793e-39,-0.07601134669240919,1.7021431131761577e-09,6265
chordino_rccd_score,precision,-0.15405749253440945,1.4000790841458392e-34,-0.07052224436616533,2.2996000661743203e-08,6265
chordino_rccd_score,recall,-0.18148361469024896,1.567715548034552e-47,-0.07558815531248933,2.094387271973979e-09,6265
chordino_rccd_score,average_overlap_ratio,-0.26895901509005693,2.835440518105241e-104,-0.18746385769108762,1.1882040936161864e-50,6265
chordino_rccd_score,f_measure_no_offset,-0.21424469037149035,5.866172665536861e-66,-0.1965464485095749,1.3472490479411332e-55,6265
chordino_rccd_score,precision_no_offset,-0.17176196208869338,1.0960814351477984e-42,-0.18586800712410947,8.280996296311351e-50,6265
chordino_rccd_score,recall_no_offset,-0.24805293350921795,1.7459298040009664e-88,-0.20449493169977884,3.9396802950475e-60,6265
chordino_rccd_score,onset_f_measure,-0.17771662069459077,1.2759873518086181e-45,-0.1625518054719341,2.3523864368928544e-38,6265
chordino_rccd_score,offset_f_measure,-0.17864216270502195,4.3686267577019366e-46,-0.07132944335370678,1.586619349773116e-08,6265
