metric,f_measure_correlation,pychord_atc_correlation,chordino_atc_correlation
tonal_certainty_piece,-0.007816822834462157,-0.010813923664275506,-0.09618046131336633
pitch_class_entropy_piece,-0.023689666939308334,-0.0800590989933067,-0.01920972667385415
melodic_interval_entropy_piece,-0.043104977174800455,-0.09028016363026196,-0.10122738798261831
ioi_entropy_piece,-0.018547924283207607,-0.06193590404231527,-0.11381728991420575
max_polyphony,-0.05691639526350677,-0.028551054186449466,0.0633384442519629
avg_polyphony,-0.047293881920325166,-0.11723540306553595,0.033667033889305316
std_polyphony,-0.10865781456245092,0.04866399011895358,0.20292181339827806
polyphony_density,0.07505658767330453,-0.09062024447854676,-0.17535774072021296
seg_max_poly,-0.05691639526350677,-0.028551054186449466,0.0633384442519629
seg_avg_poly,-0.047293881920325166,-0.11723540306553595,0.033667033889305316
seg_poly_density,0.07505658767330453,-0.09062024447854676,-0.17535774072021296
seg_poly_std,-0.10865781456245092,0.04866399011895358,0.20292181339827806
seg_mean_max_polyphony_measures,-0.10745335353586802,-0.04233533768018997,0.08291395405177222
seg_std_max_polyphony_measures,-0.005505844387630478,-0.004345889872193492,0.07072970197267033
seg_mean_avg_polyphony_measures,-0.04250568571716316,-0.13550002602135536,0.0010670714208851895
seg_std_avg_polyphony_measures,0.0011115365265856167,-0.043336851032887765,0.08572895250397151
seg_mean_polyphony_density_measures,0.058695765473682646,-0.12844802403033953,-0.14393431819858468
seg_std_polyphony_density_measures,0.02684063276163749,0.06648658598670537,0.10306384672369248
