metric,f_measure_correlation,f_measure_p_value,pychord_atc_correlation,pychord_atc_p_value,chordino_atc_correlation,chordino_atc_p_value
seg_poly_std,-0.10865781456245092,2.367206350362144e-22,0.04866399011895358,1.3927543044271774e-05,0.20292181339827806,8.588897900068381e-75
std_polyphony,-0.10865781456245092,2.367206350362144e-22,0.04866399011895358,1.3927543044271774e-05,0.20292181339827806,8.588897900068381e-75
seg_mean_max_polyphony_measures,-0.10745335353586802,6.829475485019831e-22,-0.04233533768018997,0.00015720871987110927,0.08291395405177222,1.2496232172369192e-13
polyphony_density,0.07505658767330453,1.987013987186897e-11,-0.09062024447854676,5.363012197853614e-16,-0.17535774072021296,5.00421295785043e-56
seg_poly_density,0.07505658767330453,1.987013987186897e-11,-0.09062024447854676,5.363012197853614e-16,-0.17535774072021296,5.00421295785043e-56
seg_mean_polyphony_density_measures,0.058695765473682646,1.5875106233792e-07,-0.12844802403033953,1.1817981275883814e-30,-0.14393431819858468,3.904700292907749e-38
max_polyphony,-0.05691639526350677,3.71652527424483e-07,-0.028551054186449466,0.01082769202121309,0.0633384442519629,1.5354886287894717e-08
seg_max_poly,-0.05691639526350677,3.71652527424483e-07,-0.028551054186449466,0.01082769202121309,0.0633384442519629,1.5354886287894717e-08
seg_avg_poly,-0.047293881920325166,2.4157503393292097e-05,-0.11723540306553595,8.873207094275205e-26,0.033667033889305316,0.0026553114735604097
avg_polyphony,-0.047293881920325166,2.4157503393292097e-05,-0.11723540306553595,8.873207094275205e-26,0.033667033889305316,0.0026553114735604097
melodic_interval_entropy_piece,-0.043104977174800455,0.00011900438689697109,-0.09028016363026196,6.890499613889885e-16,-0.10122738798261831,1.3522686702128999e-19
seg_mean_avg_polyphony_measures,-0.04250568571716316,0.00014787093969252652,-0.13550002602135536,5.942901741224667e-34,0.0010670714208851895,0.9241417983849856
seg_std_polyphony_density_measures,0.02684063276163749,0.01659782891929327,0.06648658598670537,2.8613825284692727e-09,0.10306384672369248,2.9367351714494436e-20
pitch_class_entropy_piece,-0.023689666939308334,0.03449878905993834,-0.0800590989933067,8.343654641135202e-13,-0.01920972667385415,0.08647425526036348
ioi_entropy_piece,-0.018547924283207607,0.09787858908985937,-0.06193590404231527,3.165493396748414e-08,-0.11381728991420575,2.2120360337067376e-24
tonal_certainty_piece,-0.007816822834462157,0.4854724420829122,-0.010813923664275506,0.3345521496258167,-0.09618046131336633,7.806307125048475e-18
seg_std_max_polyphony_measures,-0.005505844387630478,0.6232101333856536,-0.004345889872193492,0.6981655748696413,0.07072970197267033,2.62704268801898e-10
seg_std_avg_polyphony_measures,0.0011115365265856167,0.9209909132372496,-0.043336851032887765,0.00010933289097895238,0.08572895250397151,1.8030018039055273e-14
