midi_filename,dataset_name,file_path_x,total_processing_time,timestamp_x,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference,file_path_y,processing_time,timestamp_y,tonal_certainty_piece,pitch_class_entropy_piece,melodic_interval_entropy_piece,ioi_entropy_piece,max_polyphony,avg_polyphony,std_polyphony,polyphony_density,atc_score,atc_processing_time,atc_error,seg_max_poly,seg_avg_poly,seg_poly_density,seg_poly_std,seg_mean_max_polyphony_measures,seg_std_max_polyphony_measures,seg_mean_avg_polyphony_measures,seg_std_avg_polyphony_measures,seg_mean_polyphony_density_measures,seg_std_polyphony_density_measures,model_name,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,Basic_Pitch,170.427211,3,1,0.310734,0.37234,0.338759,0.904914,0.713479,0.854932,0.777827,0.698325,0.757062,0.907157,0.825341,0.670702,0.803675,0.731192,48.103188
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,Bytedance_Piano_transcription,170.427211,3,1,0.668046,0.624758,0.645677,0.949165,0.995863,0.931335,0.962519,0.808882,0.997932,0.933269,0.964518,0.83454,0.780464,0.806597,44.517217
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,CREPE_Pitch_Tracker,170.427211,3,1,0.000165,0.000967,0.000282,0.387302,0.022494,0.131528,0.038418,0.129169,0.102382,0.598646,0.174859,0.124049,0.725338,0.211864,13.672202
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,Jointist,170.427211,3,4,0.247619,0.402321,0.306559,0.904278,0.579762,0.941973,0.71776,0.648775,0.611905,0.994197,0.757553,0.432738,0.703095,0.535741,10.823534
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,MT3,170.427211,3,3,0.784413,0.749516,0.766568,0.93616,0.972672,0.9294,0.950544,0.858855,0.982794,0.939072,0.960435,0.87247,0.833656,0.852621,25.214186
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,Madmom,170.427211,3,1,0.793142,0.693424,0.739938,0.918064,0.983407,0.859768,0.917441,0.835704,0.99115,0.866538,0.924665,0.873894,0.764023,0.815273,68.722025
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,Omnizart,170.427211,3,1,0.456858,0.39942,0.426213,0.880454,0.951327,0.831721,0.887513,0.710883,0.962389,0.841393,0.897833,0.78208,0.683752,0.729618,29.803865
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,ReconVAT,170.427211,3,1,0.079409,0.083172,0.081247,0.81915,0.676824,0.708897,0.692489,0.431534,0.736842,0.77176,0.753897,0.539243,0.564797,0.551724,5.169482605
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,7.593462228775024,2025-09-22 14:32:56.549939,0.46226415,1.4540934562683103,7.0,0.46226415,-1.0,0.7,6.138249158859253,7.0,0.7,-1.0,0.2377358499999999,0.2377358499999999,/depot/yunglu/data/transcription/POP909/334/334.mid,27.48404049873352,2025-08-05 02:28:05.202351,1.262133441664705,2.6150028183650296,3.742800396328741,1.7259432033825677,8.0,4.482577848806236,1.5973879106245452,0.9428543755145524,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/334/334.mid']' returned non-zero exit status 1.",8,4.482577848806236,0.9428543755145524,1.5973879106245452,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982432,0.0402521882874339,Transkun,170.427211,3,1,0.889336,0.854932,0.871795,0.957729,1.0,0.961315,0.980276,0.901919,1.0,0.961315,0.980276,0.93662,0.900387,0.918146,28.731874
672.mid,pop909,/depot/yunglu/data/transcription/POP909/672/672.mid,7.900213718414307,2025-09-22 14:32:56.856243,0.05691057,1.1339857578277588,7.0,0.05691057,-1.0,0.31638417,6.76534628868103,7.0,0.31638417,-1.0,0.2594736,0.2594736,/depot/yunglu/data/transcription/POP909/672/672.mid,32.116517782211304,2025-08-05 02:28:09.835901,1.230573024428504,2.624313339858317,2.994386444715593,1.0568225998632552,8.0,2.8407694424064576,1.8876295353407144,0.7442223037417468,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/672/672.mid']' returned non-zero exit status 1.",8,2.8407694424064576,0.7442223037417468,1.8876295353407144,7.375,0.4841229182759271,2.965960313857104,0.3873511274806263,0.7629241680683201,0.0663188186588831,Basic_Pitch,109.916009,3,1,0.116841,0.113815,0.115308,0.849272,0.760677,0.740973,0.750696,0.53159,0.862208,0.839874,0.850895,0.408541,0.397959,0.403181,44.759778
