metric,correlation,p_value,n_samples
max_polyphony,-0.35407199433514075,0.0,33644
std_polyphony,-0.3531202900669375,0.0,33644
seg_mean_max_polyphony_measures,-0.3526395592709067,0.0,33644
seg_max_poly,-0.35098243922406347,0.0,33644
seg_poly_std,-0.3500520201889016,0.0,33644
seg_mean_avg_polyphony_measures,-0.28857626541145087,0.0,33644
seg_std_max_polyphony_measures,-0.28576164083469047,0.0,33644
seg_std_avg_polyphony_measures,-0.258954188991718,0.0,33644
avg_polyphony,-0.257894573018291,0.0,33644
seg_avg_poly,-0.25560488856917973,0.0,33644
seg_mean_polyphony_density_measures,-0.1721715186290034,3.7788583115681654e-222,33644
polyphony_density,-0.11171265217826662,7.04788487993459e-94,33644
seg_poly_density,-0.11083439911668284,1.9824632354914803e-92,33644
pitch_class_entropy_piece,-0.09980629344475987,3.186138356068179e-75,33644
tonal_certainty_piece,0.09489761870015068,3.748019703657239e-68,33644
melodic_interval_entropy_piece,0.03439445238772798,2.7837556365390435e-10,33644
seg_std_polyphony_density_measures,0.011756182511489023,0.03105644295225855,33644
ioi_entropy_piece,0.0029104450130368106,0.5934633933130474,33644
