filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
334,POP909,0.46226415,0.68292683,POP909,0.338759
672,POP909,0.05691057,0.3236994,POP909,0.115308
777,POP909,0.12962963,0.28,POP909,0.277427
376,POP909,0.05691057,0.6796116,POP909,0.212676
731,POP909,0.093959734,0.6862745,POP909,0.263477
747,POP909,0.03763441,0.6453901,POP909,0.244848
338,POP909,0.15328467,0.4,POP909,0.288969
368,POP909,0.25609756,0.6533333,POP909,0.255282
364,POP909,0.18134715,0.875,POP909,0.308199
251,POP909,0.13861386,1.3558558,POP909,0.230401
263,POP909,0.1981132,0.74242425,POP909,0.199257
848,POP909,0.030172413,0.78125,POP909,0.170022
735,POP909,0.05263158,0.27450982,POP909,0.254454
477,POP909,0.1388889,0.38723403,POP909,0.263327
723,POP909,0.06363636,0.1981132,POP909,0.25515
836,POP909,0.044871796,0.8651685,POP909,0.178344
390,POP909,0.16470589,0.38431373,POP909,0.191103
340,POP909,0.10606061,0.2,POP909,0.342936
711,POP909,0.16666667,0.46666667,POP909,0.213561
044,POP909,0.049295776,0.26717559,POP909,0.160772
157,POP909,0.16535433,0.71532845,POP909,0.17284
411,POP909,0.20095694,0.5135135,POP909,0.170612
056,POP909,0.114285715,1.2482518,POP909,0.110139
006,POP909,0.029411765,2.3256578,POP909,0.200417
403,POP909,0.10144927,0.97411,POP909,0.181661
032,POP909,0.072164945,1.7111111,POP909,0.189468
491,POP909,0.875,0.61403507,POP909,0.153321
566,POP909,0.32489452,0.6441718,POP909,0.259014
103,POP909,0.08383234,0.5048077,POP909,0.207353
554,POP909,0.5260116,0.34265736,POP909,0.293778
800,POP909,0.03626943,0.71257484,POP909,0.277263
483,POP909,0.46397695,0.6245353,POP909,0.193913
617,POP909,0.085365854,0.1590909,POP909,0.250341
074,POP909,0.076642334,1.0745614,POP909,0.163748
171,POP909,0.121212125,0.352518,POP909,0.2108
596,POP909,0.057613168,0.75298804,POP909,0.143131
605,POP909,0.039325844,0.52238804,POP909,0.292432
125,POP909,0.39375,0.7677419,POP909,0.242784
151,POP909,0.17073171,0.0,POP909,0.166884
163,POP909,0.37634408,0.9020619,POP909,0.161789
718,POP909,0.03448276,0.3943662,POP909,0.183554
389,POP909,0.12962963,0.3117409,POP909,0.105456
534,POP909,0.36239782,0.5952381,POP909,0.219456
689,POP909,0.13930348,0.51578945,POP909,0.18236
748,POP909,0.06930693,1.1382114,POP909,0.300803
786,POP909,0.53846157,0.99676377,POP909,0.145307
685,POP909,0.62068963,1.1624548,POP909,0.186435
260,POP909,0.33793104,1.0282485,POP909,0.212731
778,POP909,0.044025157,0.42424244,POP909,0.263096
252,POP909,0.3888889,1.3716216,POP909,0.203683
214,POP909,0.7225807,1.2484076,POP909,0.219489
315,POP909,0.07865169,0.5833333,POP909,0.323602
724,POP909,0.69536424,0.3181818,POP909,0.313484
732,POP909,0.24054983,1.0966667,POP909,0.098004
057,POP909,0.6325301,0.25609756,POP909,0.319779
353,POP909,0.037037037,0.46666667,POP909,0.23161
357,POP909,0.109375,0.61538464,POP909,0.244833
466,POP909,0.13636364,1.0125786,POP909,0.278075
045,POP909,0.13907285,0.25925925,POP909,0.146356
099,POP909,0.07954545,0.81914896,POP909,0.179432
003,POP909,0.459854,0.19838056,POP909,0.160305
303,POP909,0.17073171,0.9459459,POP909,0.355818
087,POP909,0.07526882,0.16153847,POP909,0.172414
712,POP909,0.34567901,0.6113537,POP909,0.162104
049,POP909,0.13725491,0.5426357,POP909,0.21463
867,POP909,0.03846154,0.40833333,POP909,0.22293
033,POP909,0.18421052,0.21212122,POP909,0.214168
492,POP909,0.2837838,0.58759123,POP909,0.162005
442,POP909,1.0390625,0.6199262,POP909,0.210678
555,POP909,0.038043477,0.3310811,POP909,0.290072
801,POP909,1.772152,0.5163934,POP909,0.295309
480,POP909,0.034653466,0.95238096,POP909,0.208269
371,POP909,0.7264151,0.6942149,POP909,0.139535
454,POP909,0.03153153,2.0774193,POP909,0.176471
458,POP909,0.371875,3.9565217,POP909,0.112756
