filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.008415
Track00147,Slakh 2100,2.9064977,2.6535947,Slakh 2100,0.008264
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.008415
Track01303,Slakh 2100,0.06167401,0.19444445,Slakh 2100,0.0
Track00584,Slakh 2100,3.3246014,0.6028708,Slakh 2100,0.002416
Track00158,Slakh 2100,0.902439,0.2658228,Slakh 2100,0.0
Track01496,Slakh 2100,1.2572815,0.2,Slakh 2100,0.000433
Track01124,Slakh 2100,3.0985916,3.142857,Slakh 2100,0.002777
Track01340,Slakh 2100,1.0243902,1.5856353,Slakh 2100,0.009428
Track01358,Slakh 2100,0.22702703,3.0,Slakh 2100,0.0
Track01449,Slakh 2100,3.4830918,1.8089888,Slakh 2100,0.002993
Track01439,Slakh 2100,0.38181818,0.5748792,Slakh 2100,0.002044
Track00319,Slakh 2100,0.9,0.9064748,Slakh 2100,0.000812
Track00587,Slakh 2100,2.7251909,1.0705882,Slakh 2100,0.00026
Track01375,Slakh 2100,0.95238096,3.7293448,Slakh 2100,0.001585
Track00826,Slakh 2100,3.7550092,3.0574713,Slakh 2100,0.001153
Track00914,Slakh 2100,4.6368113,4.0028167,Slakh 2100,0.00345
Track00347,Slakh 2100,3.046025,1.5833334,Slakh 2100,0.005232
Track00609,Slakh 2100,1.9743589,0.7924528,Slakh 2100,0.005135
Track01226,Slakh 2100,3.1801324,2.8512194,Slakh 2100,0.009726
Track00019,Slakh 2100,4.0012136,4.13555,Slakh 2100,0.000941
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.008415
Track00147,Slakh 2100,2.9064977,2.6535947,Slakh 2100,0.008264
Track00594,Slakh 2100,3.9761906,3.1908128,Slakh 2100,0.015939
Track00225,Slakh 2100,4.067432,2.9262295,Slakh 2100,0.002889
Track00065,Slakh 2100,3.2410715,2.6798143,Slakh 2100,0.014009
Track00832,Slakh 2100,2.5801282,1.4545455,Slakh 2100,0.002299
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.008415
Track01303,Slakh 2100,0.879397,0.19444445,Slakh 2100,0.0
Track00584,Slakh 2100,1.9631728,0.6028708,Slakh 2100,0.002416
Track00158,Slakh 2100,0.5833333,0.2658228,Slakh 2100,0.0
Track01496,Slakh 2100,0.09859155,0.2,Slakh 2100,0.000433
Track01124,Slakh 2100,3.3149037,3.142857,Slakh 2100,0.002777
Track01449,Slakh 2100,3.2971961,1.8089888,Slakh 2100,0.002993
Track00587,Slakh 2100,2.6384616,1.0705882,Slakh 2100,0.00026
Track01375,Slakh 2100,3.8913739,3.7293448,Slakh 2100,0.001585
Track00826,Slakh 2100,3.7523105,3.0574713,Slakh 2100,0.001153
Track00914,Slakh 2100,4.4474273,4.0028167,Slakh 2100,0.00345
Track00609,Slakh 2100,1.9743589,0.7924528,Slakh 2100,0.005135
Track00347,Slakh 2100,2.8205884,1.5833334,Slakh 2100,0.005232
Track01226,Slakh 2100,3.18435,2.8512194,Slakh 2100,0.009726
Track00019,Slakh 2100,3.991453,4.13555,Slakh 2100,0.000941
Track00730,Slakh 2100,3.9134662,3.3281372,Slakh 2100,0.008415
Track00147,Slakh 2100,2.911111,2.6535947,Slakh 2100,0.008264
Track00594,Slakh 2100,3.9807038,3.1908128,Slakh 2100,0.015939
Track00225,Slakh 2100,4.1005917,2.9262295,Slakh 2100,0.002889
Track00065,Slakh 2100,3.2410715,2.6798143,Slakh 2100,0.014009
Track00832,Slakh 2100,2.547541,1.4545455,Slakh 2100,0.002299
Track01303,Slakh 2100,0.879397,0.19444445,Slakh 2100,0.0
Track00584,Slakh 2100,1.9631728,0.6028708,Slakh 2100,0.002416
Track00158,Slakh 2100,0.5833333,0.2658228,Slakh 2100,0.0
