filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
Traditional__traditioner_af_swenska_folk_dansar.1.12__traditioner_af_swenska_folk_dansar.1.12,MSMD,0.2413793,0.0,MSMD,0.0
Traditional__traditioner_af_swenska_folk_dansar.3.7__traditioner_af_swenska_folk_dansar.3.7,MSMD,0.7241379,0.0,MSMD,0.0
Anonymous__lanative__lanative,MSMD,0.46666667,0.875,MSMD,0.0
Traditional__traditioner_af_swenska_folk_dansar.1.4__traditioner_af_swenska_folk_dansar.1.4,MSMD,0.61403507,0.0,MSMD,0.011905
Yaniewicz__leslanciers__leslanciers,MSMD,0.92105263,0.0,MSMD,0.0
TchaikovskyPI__O39__05MarchOfTheWoodenSoldiers,MSMD,1.0714285,1.630137,MSMD,0.0
SchumannR__O68__schumann-op68-08-cavalier-sauvage,MSMD,0.25301206,1.0,MSMD,0.0
Traditional__traditioner_af_swenska_folk_dansar.3.24__traditioner_af_swenska_folk_dansar.3.24,MSMD,2.118421,0.23333333,MSMD,0.02026
MozartWA__KV331__KV331_1_3_var2,MSMD,1.8888888,0.65625,MSMD,0.0
BartokB__rom_folk_dance_1_bartok__rom_folk_dance_1_bartok,MSMD,2.2,0.0,MSMD,0.019704
BachJS__BWV856__BWV856_Praeludium11,MSMD,3.1140685,1.4112903,MSMD,0.0
Spagnoletti__farnham__farnham,MSMD,0.19444445,0.0,MSMD,0.010714
BachJS__BWV515__anna-magdalena-20a,MSMD,0.5833333,0.0,MSMD,0.0
ScarlattiD__K11__sonatensatz,MSMD,2.8647687,3.761194,MSMD,0.014197
BachJS__BWV856__BWV856_Fugue11,MSMD,1.9255015,0.053846154,MSMD,0.0
BachJS__BWV826__22title-hub,MSMD,0.99115044,0.2837838,MSMD,0.000933
BachJS__BWV851__bwv851_fugue06,MSMD,0.8566434,0.0,MSMD,0.0
SchumannR__O15__SchumannOp15No02,MSMD,0.9514563,0.3783784,MSMD,0.002105
BachJS__BWV869__BWV869_Praeludium24,MSMD,0.085365854,0.0,MSMD,0.001685
HandelGF__HWV585__sonatina-in-b-flat-major,MSMD,0.7205882,3.0,MSMD,0.00381
BachJS__BWV988__bwv-988-v12,MSMD,1.8551236,0.0,MSMD,0.0
CzernyC__Op_821__Czerny_Op_821_No_013,MSMD,3.15,2.9473684,MSMD,0.0
Traditional__traditioner_af_swenska_folk_dansar.3.21__traditioner_af_swenska_folk_dansar.3.21,MSMD,1.5638298,0.23333333,MSMD,0.0
Traditional__traditioner_af_swenska_folk_dansar.3.4__traditioner_af_swenska_folk_dansar.3.4,MSMD,2.074074,0.0,MSMD,0.006231
