filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
334,POP909,0.46226415,0.68292683,POP909,0.081247
672,POP909,0.05691057,0.3236994,POP909,0.247515
777,POP909,0.12962963,0.28,POP909,0.113939
376,POP909,0.05691057,0.6796116,POP909,0.118671
731,POP909,0.093959734,0.6862745,POP909,0.105049
747,POP909,0.03763441,0.6453901,POP909,0.112464
338,POP909,0.15328467,0.4,POP909,0.070432
368,POP909,0.25609756,0.6533333,POP909,0.09987
364,POP909,0.18134715,0.875,POP909,0.111473
251,POP909,0.13861386,1.3558558,POP909,0.099481
263,POP909,0.1981132,0.74242425,POP909,0.083969
848,POP909,0.030172413,0.78125,POP909,0.089956
735,POP909,0.05263158,0.27450982,POP909,0.113573
477,POP909,0.1388889,0.38723403,POP909,0.144532
723,POP909,0.06363636,0.1981132,POP909,0.101376
836,POP909,0.044871796,0.8651685,POP909,0.083168
390,POP909,0.16470589,0.38431373,POP909,0.210526
340,POP909,0.10606061,0.2,POP909,0.071592
711,POP909,0.16666667,0.46666667,POP909,0.082836
044,POP909,0.049295776,0.26717559,POP909,0.122734
157,POP909,0.16535433,0.71532845,POP909,0.064326
411,POP909,0.20095694,0.5135135,POP909,0.106069
056,POP909,0.114285715,1.2482518,POP909,0.126415
006,POP909,0.029411765,2.3256578,POP909,0.080871
403,POP909,0.10144927,0.97411,POP909,0.121192
032,POP909,0.072164945,1.7111111,POP909,0.113826
491,POP909,0.875,0.61403507,POP909,0.223158
566,POP909,0.32489452,0.6441718,POP909,0.145455
103,POP909,0.08383234,0.5048077,POP909,0.102377
554,POP909,0.5260116,0.34265736,POP909,0.125
800,POP909,0.03626943,0.71257484,POP909,0.125728
483,POP909,0.46397695,0.6245353,POP909,0.117547
617,POP909,0.085365854,0.1590909,POP909,0.14057
074,POP909,0.076642334,1.0745614,POP909,0.107442
171,POP909,0.121212125,0.352518,POP909,0.133063
596,POP909,0.057613168,0.75298804,POP909,0.122584
605,POP909,0.039325844,0.52238804,POP909,0.144719
125,POP909,0.39375,0.7677419,POP909,0.114535
151,POP909,0.17073171,0.0,POP909,0.068618
163,POP909,0.37634408,0.9020619,POP909,0.106762
718,POP909,0.03448276,0.3943662,POP909,0.11471
