filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.000907
Track00147,Slakh 2100,2.9064977,2.6535947,Slakh 2100,0.003307
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.000907
Track01303,Slakh 2100,0.06167401,0.19444445,Slakh 2100,0.009005
Track00584,Slakh 2100,3.3246014,0.6028708,Slakh 2100,0.002547
Track00158,Slakh 2100,0.902439,0.2658228,Slakh 2100,0.001952
Track01496,Slakh 2100,1.2572815,0.2,Slakh 2100,0.000593
Track01124,Slakh 2100,3.0985916,3.142857,Slakh 2100,0.000613
Track01474,Slakh 2100,0.496063,0.030237582,Slakh 2100,0.004086
Track01340,Slakh 2100,1.0243902,1.5856353,Slakh 2100,0.00092
Track01358,Slakh 2100,0.22702703,3.0,Slakh 2100,0.004107
Track01449,Slakh 2100,3.4830918,1.8089888,Slakh 2100,0.007845
Track01439,Slakh 2100,0.38181818,0.5748792,Slakh 2100,0.006753
Track01198,Slakh 2100,1.9173913,0.6086956,Slakh 2100,0.004023
Track00109,Slakh 2100,3.291958,2.5763888,Slakh 2100,0.002159
Track00319,Slakh 2100,0.9,0.9064748,Slakh 2100,0.000729
Track00587,Slakh 2100,2.7251909,1.0705882,Slakh 2100,0.002067
Track01375,Slakh 2100,0.95238096,3.7293448,Slakh 2100,0.000885
Track00826,Slakh 2100,3.7550092,3.0574713,Slakh 2100,0.003709
Track00914,Slakh 2100,4.6368113,4.0028167,Slakh 2100,0.017377
Track00347,Slakh 2100,3.046025,1.5833334,Slakh 2100,0.012019
Track00609,Slakh 2100,1.9743589,0.7924528,Slakh 2100,0.001734
Track01226,Slakh 2100,3.1801324,2.8512194,Slakh 2100,0.002699
Track00619,Slakh 2100,3.9709764,3.7517986,Slakh 2100,0.001653
Track00019,Slakh 2100,4.0012136,4.13555,Slakh 2100,0.00058
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.000907
Track00147,Slakh 2100,2.9064977,2.6535947,Slakh 2100,0.003307
Track00594,Slakh 2100,3.9761906,3.1908128,Slakh 2100,0.001094
Track00225,Slakh 2100,4.067432,2.9262295,Slakh 2100,0.003505
Track00065,Slakh 2100,3.2410715,2.6798143,Slakh 2100,0.002529
Track00548,Slakh 2100,3.2552147,2.6346862,Slakh 2100,0.004265
Track00832,Slakh 2100,2.5801282,1.4545455,Slakh 2100,0.002481
Track00730,Slakh 2100,3.2660782,3.3281372,Slakh 2100,0.000907
Track01303,Slakh 2100,0.879397,0.19444445,Slakh 2100,0.009005
Track00584,Slakh 2100,1.9631728,0.6028708,Slakh 2100,0.002547
Track00158,Slakh 2100,0.5833333,0.2658228,Slakh 2100,0.001952
Track01496,Slakh 2100,0.09859155,0.2,Slakh 2100,0.000593
Track01124,Slakh 2100,3.3149037,3.142857,Slakh 2100,0.000613
Track01474,Slakh 2100,0.060085837,0.030237582,Slakh 2100,0.004086
Track01449,Slakh 2100,3.2971961,1.8089888,Slakh 2100,0.007845
Track01198,Slakh 2100,2.0449438,0.6086956,Slakh 2100,0.004023
Track00109,Slakh 2100,3.3429084,2.5763888,Slakh 2100,0.002159
Track00587,Slakh 2100,2.6384616,1.0705882,Slakh 2100,0.002067
Track01375,Slakh 2100,3.8913739,3.7293448,Slakh 2100,0.000885
Track00826,Slakh 2100,3.7523105,3.0574713,Slakh 2100,0.003709
Track00914,Slakh 2100,4.4474273,4.0028167,Slakh 2100,0.017377
Track00609,Slakh 2100,1.9743589,0.7924528,Slakh 2100,0.001734
Track00347,Slakh 2100,2.8205884,1.5833334,Slakh 2100,0.012019
Track01226,Slakh 2100,3.18435,2.8512194,Slakh 2100,0.002699
Track00619,Slakh 2100,4.0890126,3.7517986,Slakh 2100,0.001653
Track00019,Slakh 2100,3.991453,4.13555,Slakh 2100,0.00058
Track00730,Slakh 2100,3.9134662,3.3281372,Slakh 2100,0.000907
Track00147,Slakh 2100,2.911111,2.6535947,Slakh 2100,0.003307
Track00594,Slakh 2100,3.9807038,3.1908128,Slakh 2100,0.001094
Track00225,Slakh 2100,4.1005917,2.9262295,Slakh 2100,0.003505
Track00065,Slakh 2100,3.2410715,2.6798143,Slakh 2100,0.002529
Track00548,Slakh 2100,3.2512255,2.6346862,Slakh 2100,0.004265
Track00832,Slakh 2100,2.547541,1.4545455,Slakh 2100,0.002481
Track01303,Slakh 2100,0.879397,0.19444445,Slakh 2100,0.009005
Track00584,Slakh 2100,1.9631728,0.6028708,Slakh 2100,0.002547
Track00158,Slakh 2100,0.5833333,0.2658228,Slakh 2100,0.001952
Track01496,Slakh 2100,0.09859155,0.2,Slakh 2100,0.000593
Track01124,Slakh 2100,3.3149037,3.142857,Slakh 2100,0.000613
Track01474,Slakh 2100,0.060085837,0.030237582,Slakh 2100,0.004086
Track01449,Slakh 2100,3.2971961,1.8089888,Slakh 2100,0.007845
Track01198,Slakh 2100,2.0449438,0.6086956,Slakh 2100,0.004023
Track01367,Slakh 2100,2.6202185,2.5837564,Slakh 2100,0.006078
Track00109,Slakh 2100,3.3429084,2.5763888,Slakh 2100,0.002159
Track00587,Slakh 2100,2.6384616,1.0705882,Slakh 2100,0.002067
Track00078,Slakh 2100,0.060344826,0.030368764,Slakh 2100,0.005223
Track00358,Slakh 2100,0.328125,0.39252338,Slakh 2100,0.010672
Track01375,Slakh 2100,3.8913739,3.7293448,Slakh 2100,0.000885
Track00826,Slakh 2100,3.7523105,3.0574713,Slakh 2100,0.003709
Track00914,Slakh 2100,4.4474273,4.0028167,Slakh 2100,0.017377
Track00609,Slakh 2100,1.9743589,0.7924528,Slakh 2100,0.001734
Track01226,Slakh 2100,3.18435,2.8512194,Slakh 2100,0.002699
Track00347,Slakh 2100,2.8205884,1.5833334,Slakh 2100,0.012019
Track00149,Slakh 2100,0.3236994,0.9354839,Slakh 2100,0.004709
Track00739,Slakh 2100,1.7589743,1.2173913,Slakh 2100,0.001988
Track00619,Slakh 2100,4.0890126,3.7517986,Slakh 2100,0.001653
Track00019,Slakh 2100,3.991453,4.13555,Slakh 2100,0.00058
Track00730,Slakh 2100,3.9134662,3.3281372,Slakh 2100,0.000907
Track00147,Slakh 2100,2.911111,2.6535947,Slakh 2100,0.003307
Track01056,Slakh 2100,3.3789473,2.61244,Slakh 2100,0.009002
Track00594,Slakh 2100,3.9807038,3.1908128,Slakh 2100,0.001094
Track00331,Slakh 2100,2.9921567,0.5,Slakh 2100,0.0
Track00225,Slakh 2100,4.1005917,2.9262295,Slakh 2100,0.003505
Track00065,Slakh 2100,3.2410715,2.6798143,Slakh 2100,0.002529
Track01095,Slakh 2100,2.1041667,1.8732394,Slakh 2100,0.007813
Track01284,Slakh 2100,3.113134,3.2735295,Slakh 2100,0.001538
Track00548,Slakh 2100,3.2512255,2.6346862,Slakh 2100,0.004265
Track00874,Slakh 2100,2.155022,1.6063652,Slakh 2100,0.009315
Track00832,Slakh 2100,2.547541,1.4545455,Slakh 2100,0.002481
Track01166,Slakh 2100,4.871233,4.125,Slakh 2100,0.005269
Track00395,Slakh 2100,0.083333336,1.4813278,Slakh 2100,0.001449
Track00567,Slakh 2100,2.1588786,0.83658534,Slakh 2100,0.001237
