filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
334,POP909,0.46226415,0.68292683,POP909,0.871795
672,POP909,0.05691057,0.3236994,POP909,0.82243
777,POP909,0.12962963,0.28,POP909,0.567986
376,POP909,0.05691057,0.6796116,POP909,0.644334
731,POP909,0.093959734,0.6862745,POP909,0.674083
747,POP909,0.03763441,0.6453901,POP909,0.591581
338,POP909,0.15328467,0.4,POP909,0.852342
368,POP909,0.25609756,0.6533333,POP909,0.516538
364,POP909,0.18134715,0.875,POP909,0.718129
251,POP909,0.13861386,1.3558558,POP909,0.475236
263,POP909,0.1981132,0.74242425,POP909,0.392434
848,POP909,0.030172413,0.78125,POP909,0.504971
735,POP909,0.05263158,0.27450982,POP909,0.555874
477,POP909,0.1388889,0.38723403,POP909,0.631712
723,POP909,0.06363636,0.1981132,POP909,0.529434
836,POP909,0.044871796,0.8651685,POP909,0.456305
390,POP909,0.16470589,0.38431373,POP909,0.727654
340,POP909,0.10606061,0.2,POP909,0.850746
711,POP909,0.16666667,0.46666667,POP909,0.510978
044,POP909,0.049295776,0.26717559,POP909,0.241289
157,POP909,0.16535433,0.71532845,POP909,0.451592
411,POP909,0.20095694,0.5135135,POP909,0.430515
056,POP909,0.114285715,1.2482518,POP909,0.348025
006,POP909,0.029411765,2.3256578,POP909,0.576651
403,POP909,0.10144927,0.97411,POP909,0.476638
032,POP909,0.072164945,1.7111111,POP909,0.400658
491,POP909,0.875,0.61403507,POP909,0.736158
566,POP909,0.32489452,0.6441718,POP909,0.813454
103,POP909,0.08383234,0.5048077,POP909,0.417453
554,POP909,0.5260116,0.34265736,POP909,0.82066
800,POP909,0.03626943,0.71257484,POP909,0.744681
483,POP909,0.46397695,0.6245353,POP909,0.597174
617,POP909,0.085365854,0.1590909,POP909,0.605088
074,POP909,0.076642334,1.0745614,POP909,0.244109
171,POP909,0.121212125,0.352518,POP909,0.594163
596,POP909,0.057613168,0.75298804,POP909,0.531289
605,POP909,0.039325844,0.52238804,POP909,0.785802
125,POP909,0.39375,0.7677419,POP909,0.763833
151,POP909,0.17073171,0.0,POP909,0.451724
163,POP909,0.37634408,0.9020619,POP909,0.525193
718,POP909,0.03448276,0.3943662,POP909,0.405312
389,POP909,0.12962963,0.3117409,POP909,0.828976
534,POP909,0.36239782,0.5952381,POP909,0.884923
689,POP909,0.13930348,0.51578945,POP909,0.463163
748,POP909,0.06930693,1.1382114,POP909,0.565186
786,POP909,0.53846157,0.99676377,POP909,0.408815
685,POP909,0.62068963,1.1624548,POP909,0.548973
260,POP909,0.33793104,1.0282485,POP909,0.341725
778,POP909,0.044025157,0.42424244,POP909,0.659398
252,POP909,0.3888889,1.3716216,POP909,0.393137
214,POP909,0.7225807,1.2484076,POP909,0.392445
315,POP909,0.07865169,0.5833333,POP909,0.839166
724,POP909,0.69536424,0.3181818,POP909,0.658874
732,POP909,0.24054983,1.0966667,POP909,0.860505
057,POP909,0.6325301,0.25609756,POP909,0.648936
353,POP909,0.037037037,0.46666667,POP909,0.549701
357,POP909,0.109375,0.61538464,POP909,0.722697
466,POP909,0.13636364,1.0125786,POP909,0.624011
045,POP909,0.13907285,0.25925925,POP909,0.329705
099,POP909,0.07954545,0.81914896,POP909,0.442789
003,POP909,0.459854,0.19838056,POP909,0.454866
303,POP909,0.17073171,0.9459459,POP909,0.897417
087,POP909,0.07526882,0.16153847,POP909,0.363278
712,POP909,0.34567901,0.6113537,POP909,0.402793
049,POP909,0.13725491,0.5426357,POP909,0.522165
867,POP909,0.03846154,0.40833333,POP909,0.569131
033,POP909,0.18421052,0.21212122,POP909,0.38309
492,POP909,0.2837838,0.58759123,POP909,0.427743
442,POP909,1.0390625,0.6199262,POP909,0.872507
555,POP909,0.038043477,0.3310811,POP909,0.804746
801,POP909,1.772152,0.5163934,POP909,0.52205
480,POP909,0.034653466,0.95238096,POP909,0.634596
371,POP909,0.7264151,0.6942149,POP909,0.699498
454,POP909,0.03153153,2.0774193,POP909,0.666775
458,POP909,0.371875,3.9565217,POP909,0.747493
188,POP909,0.2811245,1.6206896,POP909,0.392739
509,POP909,0.17213115,0.8425926,POP909,0.442264
505,POP909,0.4,0.6923077,POP909,0.48159
430,POP909,0.27510917,0.61764705,POP909,0.574383
472,POP909,0.07446808,0.14432989,POP909,0.561441
589,POP909,0.25,0.29473683,POP909,0.782002
138,POP909,0.155902,2.3429751,POP909,0.650433
289,POP909,0.07692308,0.6453901,POP909,0.479123
164,POP909,1.9743589,1.492647,POP909,0.545161
501,POP909,0.3034682,1.4488372,POP909,0.544496
881,POP909,0.10071942,0.765625,POP909,0.559648
122,POP909,0.31578946,1.2338129,POP909,0.523059
606,POP909,0.12650603,1.2419355,POP909,0.626636
160,POP909,0.06930693,0.4883721,POP909,0.567747
152,POP909,0.10294118,0.98245615,POP909,0.306801
531,POP909,0.24623115,0.6151515,POP909,0.525433
636,POP909,0.29745042,0.2837838,POP909,0.503388
194,POP909,0.21538462,0.8115942,POP909,0.382124
707,POP909,0.8623188,1.2868687,POP909,0.834804
561,POP909,0.036842104,0.81914896,POP909,0.584824
686,POP909,0.21875,1.4935344,POP909,0.671379
215,POP909,0.08571429,1.8876405,POP909,0.326727
265,POP909,0.20231214,0.96456695,POP909,0.466601
211,POP909,0.40875912,1.826087,POP909,0.338476
