Model,Sample_Size,Pychord_ATC_Correlation,Chordino_ATC_Correlation
ReconVAT,570,0.5653156434634188,0.05879488309713572
Madmom,570,0.5645696217933656,-0.05339032969607521
Bytedance_Piano_transcription,570,0.46817211437592043,-0.06960973313923613
Omnizart,570,0.4273242347270046,-0.11243534834867629
Transkun,570,0.37889226745359766,0.023210830734985588
MR-MT3,292,0.3202582269165683,0.23261613635013467
CREPE_Pitch_Tracker,570,0.19371448717332654,0.5393572390313
CREPE_AMT,1237,0.12452988125188853,0.2456202516046061
Sound2MIDI_Monophonic,1430,-7.617175627248471e-05,-0.006259085085347892
MT3,1427,-0.023531658846780726,0.00043581652501476176
Basic_Pitch,1352,-0.03940829593839683,-0.09382351016853727
