metric,correlation,p_value
seg_poly_std,-0.7042657003737728,6.153599979384074e-259
std_polyphony,-0.7042657003737728,6.153599979384074e-259
max_polyphony,-0.6640160627236731,4.5610098415238645e-220
seg_max_poly,-0.6640160627236731,4.5610098415238645e-220
seg_avg_poly,-0.5355858468274177,8.344301252278693e-129
avg_polyphony,-0.5355858468274177,8.344301252278693e-129
polyphony_density,-0.3394621507340476,7.763623013849405e-48
seg_poly_density,-0.3394621507340476,7.763623013849405e-48
ioi_entropy_piece,-0.27222522674368765,1.010020149052894e-30
melodic_interval_entropy_piece,-0.2626460103056294,1.221098356510348e-28
tonal_certainty_piece,-0.03445415795910371,0.15237113039889258
pitch_class_entropy_piece,0.025445540885052083,0.29057975666186786
