metric,correlation,p_value
seg_max_poly,-0.8363678286181857,0.0
max_polyphony,-0.8363678286181857,0.0
std_polyphony,-0.7996129510465451,0.0
seg_poly_std,-0.7996129510465451,0.0
seg_avg_poly,-0.7992759031724483,0.0
avg_polyphony,-0.7992759031724483,0.0
polyphony_density,-0.6595181098957282,4.260800881374332e-216
seg_poly_density,-0.6595181098957282,4.260800881374332e-216
melodic_interval_entropy_piece,-0.48173120064244473,4.922915867102271e-101
pitch_class_entropy_piece,-0.19115666586117216,1.1269797880906287e-15
ioi_entropy_piece,-0.18382396255877748,1.3673322236186165e-14
tonal_certainty_piece,-0.14160481666643238,3.416055375339165e-09
