metric,correlation,p_value
ioi_entropy_piece,-0.2216118649800833,2.7747767726895526e-39
std_polyphony,0.141884242266664,7.881063967706861e-17
seg_poly_std,0.141884242266664,7.881063967706861e-17
melodic_interval_entropy_piece,-0.12816178947115092,5.477607017845115e-14
seg_max_poly,0.1064015833677906,4.513533370626555e-10
max_polyphony,0.1064015833677906,4.513533370626555e-10
tonal_certainty_piece,-0.0972319415736756,1.2328336256770884e-08
seg_poly_density,0.04558482232224097,0.007697086456590487
polyphony_density,0.04558482232224097,0.007697086456590487
pitch_class_entropy_piece,-0.0321710346577915,0.06005902668085166
avg_polyphony,0.01904780422382324,0.2656504090721421
seg_avg_poly,0.01904780422382324,0.2656504090721421
