metric,correlation,p_value
seg_max_poly,-0.842968404900649,0.0
max_polyphony,-0.842968404900649,0.0
std_polyphony,-0.8265873109650949,0.0
seg_poly_std,-0.8265873109650949,0.0
seg_avg_poly,-0.7864653470679059,0.0
avg_polyphony,-0.7864653470679059,0.0
polyphony_density,-0.5844498292873431,9.423016643554998e-159
seg_poly_density,-0.5844498292873431,9.423016643554998e-159
melodic_interval_entropy_piece,-0.4124501078174863,6.603941380408994e-72
ioi_entropy_piece,-0.295620762328432,3.593304532794514e-36
pitch_class_entropy_piece,-0.11259502447951596,2.7231504785456753e-06
tonal_certainty_piece,-0.1125495999151729,2.7486133210803146e-06
