metric,correlation,p_value
seg_max_poly,-0.8742054308412753,0.0
max_polyphony,-0.8742054308412753,0.0
std_polyphony,-0.8642548312962383,0.0
seg_poly_std,-0.8642548312962383,0.0
seg_avg_poly,-0.8268474479991245,0.0
avg_polyphony,-0.8268474479991245,0.0
polyphony_density,-0.63371194254378,1.387398457661462e-194
seg_poly_density,-0.63371194254378,1.387398457661462e-194
melodic_interval_entropy_piece,-0.4159937323417997,3.081065879982592e-73
ioi_entropy_piece,-0.26237878006201254,1.3919693744279464e-28
pitch_class_entropy_piece,-0.14228281399047252,2.8706227373213414e-09
tonal_certainty_piece,-0.11242456376097369,2.8198870679321683e-06
