metric,correlation,p_value
seg_avg_poly,-0.7894898580922168,0.0
avg_polyphony,-0.7894898580922168,0.0
max_polyphony,-0.766565219356423,0.0
seg_max_poly,-0.766565219356423,0.0
seg_poly_std,-0.7456241145550123,2.071408610335139e-306
std_polyphony,-0.7456241145550123,2.071408610335139e-306
polyphony_density,-0.6089633584129371,8.552199666508951e-176
seg_poly_density,-0.6089633584129371,8.552199666508951e-176
melodic_interval_entropy_piece,-0.2898595955219283,8.827570287876312e-35
ioi_entropy_piece,-0.19279466867150405,6.363950462972148e-16
pitch_class_entropy_piece,-0.11478613565114429,1.7308473574757701e-06
tonal_certainty_piece,-0.08189626254527463,0.0006576831936839273
