metric,correlation,p_value
seg_poly_std,-0.5804497297736226,4.156914010152079e-156
std_polyphony,-0.5804497297736226,4.156914010152079e-156
max_polyphony,-0.5248685759448941,7.121871384478287e-123
seg_max_poly,-0.5248685759448941,7.121871384478287e-123
seg_avg_poly,-0.4566847086110541,1.0185954346360946e-89
avg_polyphony,-0.4566847086110541,1.0185954346360946e-89
ioi_entropy_piece,-0.35881354418917527,1.262719452198527e-53
polyphony_density,-0.1877464428735263,3.643590739415869e-15
seg_poly_density,-0.1877464428735263,3.643590739415869e-15
pitch_class_entropy_piece,0.13862841697551145,7.260394945960172e-09
melodic_interval_entropy_piece,0.01791900693417848,0.4567650772893885
tonal_certainty_piece,0.01745854747441818,0.4684163804933264
