metric,correlation,p_value
seg_max_poly,-0.056899638559606176,0.00022361344622894144
max_polyphony,-0.056899638559606176,0.00022361344622894144
avg_polyphony,-0.05299437043510928,0.0005880927844479559
seg_avg_poly,-0.05299437043510927,0.0005880927844479559
seg_poly_std,-0.052951307549005434,0.0005941947997553691
std_polyphony,-0.052951307549005434,0.0005941947997553691
tonal_certainty_piece,0.023345846946052604,0.13020852588633902
ioi_entropy_piece,-0.01119393655775716,0.46813558556342083
melodic_interval_entropy_piece,0.010891802261076531,0.4802301670538102
pitch_class_entropy_piece,-0.005677615496202063,0.7128908268788521
polyphony_density,0.00302264560837843,0.84468692502502
seg_poly_density,0.00302264560837843,0.84468692502502
