metric,correlation,p_value
melodic_interval_entropy_piece,-0.10929274800868737,2.910562926485206e-20
std_polyphony,-0.10625419538146502,3.121844672236796e-19
seg_poly_std,-0.10625419538146502,3.121844672236796e-19
seg_avg_poly,-0.09908881079356412,6.449510659858796e-17
avg_polyphony,-0.09908881079356412,6.449510659858796e-17
seg_max_poly,-0.07300542486481419,7.748344922584828e-10
max_polyphony,-0.07300542486481419,7.748344922584828e-10
ioi_entropy_piece,-0.04482053477837206,0.0001615860747763034
pitch_class_entropy_piece,-0.03331648591196096,0.005053186701273272
tonal_certainty_piece,-0.017896572337275225,0.13213874655884889
polyphony_density,-0.011868819587521591,0.3180205902336059
seg_poly_density,-0.011868819587521591,0.3180205902336059
