metric,correlation,p_value
seg_poly_density,-0.3735879605882132,4.121099359829423e-57
polyphony_density,-0.3735879605882132,4.121099359829423e-57
avg_polyphony,-0.319795261044112,1.7238448176865383e-41
seg_avg_poly,-0.319795261044112,1.7238448176865383e-41
pitch_class_entropy_piece,-0.24001755272404643,1.4293440596618903e-23
melodic_interval_entropy_piece,-0.17802040936100663,1.6822202593023735e-13
ioi_entropy_piece,-0.1384828858998661,1.0885076945065876e-08
tonal_certainty_piece,-0.13438021956552312,2.9328275825726397e-08
seg_max_poly,-0.13286026941831644,4.202782183156468e-08
max_polyphony,-0.13286026941831644,4.202782183156468e-08
std_polyphony,-0.02332005965489211,0.338012581819202
seg_poly_std,-0.023320059654892106,0.338012581819202
