metric,pearson_r,pearson_p,spearman_r,spearman_p,n_samples
seg_max_poly,-0.4582533936316146,0.0,-0.3866284969493295,0.0,16348
max_polyphony,-0.4582533936316146,0.0,-0.3866284969493295,0.0,16348
std_polyphony,-0.4483045427580873,0.0,-0.3848572011947608,0.0,16348
seg_poly_std,-0.4483045427580873,0.0,-0.3848572011947608,0.0,16348
seg_avg_poly,-0.42521647390598044,0.0,-0.37481270475956174,0.0,16348
avg_polyphony,-0.42521647390598044,0.0,-0.37481270475956174,0.0,16348
polyphony_density,-0.27527482788851976,4.483836183145216e-282,-0.1874840822154108,3.239351761629961e-129,16348
seg_poly_density,-0.27527482788851976,4.483836183145216e-282,-0.1874840822154108,3.239351761629961e-129,16348
melodic_interval_entropy_piece,-0.048152747594034845,7.280061418961749e-10,-0.0012360217451436375,0.8744372185636993,16348
pitch_class_entropy_piece,-0.04493242904877899,9.057678180606937e-09,-0.02864314616552542,0.00024950843183914133,16348
ioi_entropy_piece,-0.02904098962966851,0.00020428335808367128,0.026686232742547843,0.0006438652085110873,16348
tonal_certainty_piece,0.020794103981306145,0.007841864215618218,0.032586097477180866,3.083320960913046e-05,16348
