midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
040_BurgerTime_01_02MainTheme.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/040_BurgerTime_01_02MainTheme.mid,0.9926230907440186,2025-08-15 15:49:44.812383,0.0,0.4344785213470459,,0.0,0,0.0,0.5574848651885986,,0.0,,0.0,0.0
199_Labyrinth_MaounoMeikyu_07_08StairsGetKey.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/199_Labyrinth_MaounoMeikyu_07_08StairsGetKey.mid,1.2900006771087646,2025-08-15 15:49:45.126250,6.4166665,0.44930386543273926,7.0,6.4166665,0,6.2222223,0.8400726318359375,7.0,6.2222223,-1.0,0.1944441999999995,0.1944441999999995
023_BalloonFight_05_06Clear.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/023_BalloonFight_05_06Clear.mid,1.3409397602081299,2025-08-15 15:49:45.176862,3.5,0.4356417655944824,7.0,3.5,0,2.8,0.9042401313781738,7.0,2.8,-1.0,0.7000000000000002,0.7000000000000002
369_VS_NinjaJaJaMaru_kun_06_07NinjaArtsGamapakkun.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/369_VS_NinjaJaJaMaru_kun_06_07NinjaArtsGamapakkun.mid,1.4694139957427979,2025-08-15 15:49:45.305664,6.0,0.45269346237182617,7.0,6.0,0,5.133333,1.0160605907440186,7.0,5.133333,-1.0,0.8666669999999996,0.8666669999999996
353_TheTowerofDruaga_08_09CongratulantFanfare.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/353_TheTowerofDruaga_08_09CongratulantFanfare.mid,2.3297336101531982,2025-08-15 15:49:46.166094,,0.902235746383667,,,0,2.6833334,1.4267113208770752,7.0,2.6833334,-1.0,,
087_DragonSpirit_TheNewLegend_00_01Start.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/087_DragonSpirit_TheNewLegend_00_01Start.mid,0.8215112686157227,2025-08-15 15:49:46.988144,,0.32799363136291504,,,0,2.3333333,0.49293971061706543,7.0,2.3333333,-1.0,,
259_Pac_Man_01_02Intermission.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/259_Pac_Man_01_02Intermission.mid,3.2061195373535156,2025-08-15 15:49:47.041512,5.6,0.4497568607330322,7.0,5.6,0,5.25,2.7553775310516357,7.0,5.25,-1.0,0.34999999999999964,0.34999999999999964
378_WaiWaiWorld2_SOS__ParsleyJou_43_44MagicalAction5.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/378_WaiWaiWorld2_SOS__ParsleyJou_43_44MagicalAction5.mid,2.8183000087738037,2025-08-15 15:49:47.995710,,0.4299945831298828,,,0,3.7692308,2.387540578842163,7.0,3.7692308,-1.0,,
091_DragonWarriorIV_29_30Elegy.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/091_DragonWarriorIV_29_30Elegy.mid,3.6050350666046143,2025-08-15 15:49:48.418010,,0.908149242401123,,,0,0.0,2.696103096008301,,0.0,,,
136_GanbareGoemon_KarakuriDouchuu_15_16Ending.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/136_GanbareGoemon_KarakuriDouchuu_15_16Ending.mid,3.633225917816162,2025-08-15 15:49:48.760002,4.375,0.6150074005126953,7.0,4.375,0,4.012195,3.017235517501831,7.0,4.012195,-1.0,0.3628049999999998,0.3628049999999998
