midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,6.554832696914673,2025-10-02 17:19:20.162141,0.0,0.48169541358947754,0,0,0,0.7,6.072571754455566,7.0,0.7,-1.0,0.7,0.7
672.mid,pop909,/depot/yunglu/data/transcription/POP909/672/672.mid,7.105008363723755,2025-10-02 17:19:20.712595,0.0,0.4515414237976074,0,0,0,0.31638417,6.652781248092651,7.0,0.31638417,-1.0,0.31638417,0.31638417
747.mid,pop909,/depot/yunglu/data/transcription/POP909/747/747.mid,8.652701616287231,2025-10-02 17:19:22.260415,0.0,0.43872809410095215,0,0,0,0.59574467,8.2086660861969,7.0,0.59574467,-1.0,0.59574467,0.59574467
338.mid,pop909,/depot/yunglu/data/transcription/POP909/338/338.mid,8.661803245544434,2025-10-02 17:19:22.263985,0.0,0.5628037452697754,0,0,0,0.4,8.098245620727539,7.0,0.4,-1.0,0.4,0.4
630.mid,pop909,/depot/yunglu/data/transcription/POP909/630/630.mid,9.568381309509277,2025-10-02 17:19:23.171834,0.0,0.4548935890197754,0,0,0,0.47945204,9.112879276275635,7.0,0.47945204,-1.0,0.47945204,0.47945204
705.mid,pop909,/depot/yunglu/data/transcription/POP909/705/705.mid,10.113957166671753,2025-10-02 17:19:23.711011,0.0,0.45127415657043457,0,0,0,0.6818182,9.661785364151001,7.0,0.6818182,-1.0,0.6818182,0.6818182
743.mid,pop909,/depot/yunglu/data/transcription/POP909/743/743.mid,11.187198162078857,2025-10-02 17:19:24.794931,0.0,0.4371504783630371,0,0,0,0.90909094,10.748361110687256,7.0,0.90909094,-1.0,0.90909094,0.90909094
263.mid,pop909,/depot/yunglu/data/transcription/POP909/263/263.mid,11.23010540008545,2025-10-02 17:19:24.833887,0.0,0.461200475692749,0,0,0,0.5645161,10.768352031707764,7.0,0.5645161,-1.0,0.5645161,0.5645161
326.mid,pop909,/depot/yunglu/data/transcription/POP909/326/326.mid,5.894310712814331,2025-10-02 17:19:28.159647,0.0,0.6536242961883545,0,0,0,1.4,5.240233421325684,7.0,1.4,-1.0,1.4,1.4
789.mid,pop909,/depot/yunglu/data/transcription/POP909/789/789.mid,8.531776666641235,2025-10-02 17:19:29.244958,0.0,0.38270139694213867,0,0,0,1.5555556,8.148560523986816,7.0,1.5555556,-1.0,1.5555556,1.5555556
376.mid,pop909,/depot/yunglu/data/transcription/POP909/376/376.mid,9.544656753540039,2025-10-02 17:19:29.707737,0.0,0.5827419757843018,0,0,0,0.53333336,8.961272478103638,7.0,0.53333336,-1.0,0.53333336,0.53333336
