midi_filename,dataset_name,file_path,processing_time,timestamp,tonal_certainty_piece,pitch_class_entropy_piece,melodic_interval_entropy_piece,ioi_entropy_piece,max_polyphony,avg_polyphony,std_polyphony,polyphony_density,mean_max_polyphony_measures,std_max_polyphony_measures,mean_avg_polyphony_measures,std_avg_polyphony_measures,mean_polyphony_density_measures,std_polyphony_density_measures,atc_score,atc_processing_time,mean_tonal_certainty_measures,mean_pitch_class_entropy_measures,max_melodic_interval_entropy_piece,max_mean_melodic_interval_entropy_measures,max_ioi_entropy_piece,max_mean_ioi_entropy_measures
098.mid,pop909,/depot/yunglu/data/transcription/POP909/098/098.mid,19.375129222869873,2025-10-02 16:06:36.375224,0.9759889035989091,2.6479004846328067,3.482081374649183,2.0999818418188387,8.0,3.575226977950711,1.454040542040472,0.9353923476005188,6.125,0.9270248108869579,3.4576313250957726,0.6419082208755741,0.9025496135655544,0.053594498539673775,0.0,2.79927921295166,,,,,,
326.mid,pop909,/depot/yunglu/data/transcription/POP909/326/326.mid,19.457659006118774,2025-10-02 16:06:36.444375,1.1139429773170404,2.522392974208951,3.0759981627363526,1.8268764110540325,7.0,3.4031622023809507,1.6552353272484666,0.8862537202380951,6.0,0.7071067811865476,3.2491168252037816,0.1555204175847632,0.8381879271161374,0.04073540869276375,0.0,0.8953137397766113,,,,,,
048.mid,pop909,/depot/yunglu/data/transcription/POP909/048/048.mid,29.608569145202637,2025-10-02 16:06:46.612437,,,,,,,,,,,,,,,0.0,3.442835569381714,,,,,,
018.mid,pop909,/depot/yunglu/data/transcription/POP909/018/018.mid,45.16651916503906,2025-10-02 16:07:02.159723,1.1159471540834343,2.545506152532484,3.5107297211723805,1.182401282716909,8.0,3.3733247545747598,1.7620280158397787,0.8315309513844951,7.0,0.7071067811865476,3.2421629457318595,0.2607904393081528,0.8130948255530448,0.04757018924687984,0.0,1.6468803882598877,,,,,,
806.mid,pop909,/depot/yunglu/data/transcription/POP909/806/806.mid,48.1246018409729,2025-10-02 16:07:05.113210,1.2656396886890318,2.7268173831938434,3.9224777972139946,0.4457389208071419,8.0,2.753833092243843,1.0727447716605472,0.8990581818079058,5.875,1.165922381636102,2.7949493598458206,0.30561207392965223,0.8468684399319841,0.0406057578037579,0.0,3.8522181510925293,,,,,,
334.mid,pop909,/depot/yunglu/data/transcription/POP909/334/334.mid,52.701427698135376,2025-10-02 16:07:09.685090,1.262133441664705,2.6150028183650296,3.7428003963287404,1.7259432033825675,8.0,4.482577848806236,1.5973879106245452,0.9428543755145523,7.625,0.4841229182759271,4.244048005513548,0.3286773607358617,0.9346431236982431,0.040252188287433946,0.0,3.55586576461792,,,,,,
314.mid,pop909,/depot/yunglu/data/transcription/POP909/314/314.mid,54.00435137748718,2025-10-02 16:07:10.997147,0.967351017139014,3.299156464346309,3.5617192411454557,0.989838869698472,9.0,4.5439525222552,1.6600683210592966,0.9255390702274976,8.25,0.82915619758885,4.335987715555067,0.7599549484999604,0.9127323313285833,0.14467132801722882,0.0,4.835286378860474,,,,,,
310.mid,pop909,/depot/yunglu/data/transcription/POP909/310/310.mid,56.45721411705017,2025-10-02 16:07:13.451243,0.7948872122178189,2.7545645894647945,3.6092041955691645,1.9119245666833984,10.0,2.6289149998035284,1.6359178691187868,0.7372054335154143,7.5,1.5,3.2180216586640125,0.42127969677532473,0.841406134274431,0.0760912028967691,0.0,3.671189546585083,,,,,,
263.mid,pop909,/depot/yunglu/data/transcription/POP909/263/263.mid,60.45763826370239,2025-10-02 16:07:17.441094,0.9565226648812309,2.7986440113809685,3.4810686694775983,0.8966421868372426,8.0,3.6267832695093194,1.4046910477732417,0.9335849917657096,7.0,0.7071067811865476,3.406754939160383,0.39456683413062704,0.8771643679209545,0.041251273756144166,0.0,5.2153613567352295,,,,,,
672.mid,pop909,/depot/yunglu/data/transcription/POP909/672/672.mid,60.589983224868774,2025-10-02 16:07:17.574466,1.230573024428504,2.624313339858317,2.994386444715593,1.0568225998632552,8.0,2.8407694424064576,1.8876295353407144,0.7442223037417468,7.375,0.4841229182759271,2.9659603138571033,0.3873511274806263,0.7629241680683201,0.0663188186588831,0.0,3.0994598865509033,,,,,,
251.mid,pop909,/depot/yunglu/data/transcription/POP909/251/251.mid,65.08820128440857,2025-10-02 16:07:22.075230,0.9941105543082798,3.3738988070153657,3.810121576101069,1.078234865345945,9.0,3.932739357940845,1.7430770664926813,0.9012020930561395,7.875,0.7806247497997998,3.596317185599591,0.3957084951114783,0.8669570977722555,0.05056510846789819,0.0,3.324427604675293,,,,,,
199.mid,pop909,/depot/yunglu/data/transcription/POP909/199/199.mid,36.538719177246094,2025-10-02 16:07:49.991214,1.1087356236864978,2.729498200632313,3.798889297408755,2.297430494296038,8.0,4.153775612551939,2.0833804249861676,0.8266657114199741,7.5,0.5,3.8163361040248036,0.24549274844578345,0.8540176171104539,0.04786893951907505,0.0,3.8931612968444824,,,,,,
820.mid,pop909,/depot/yunglu/data/transcription/POP909/820/820.mid,110.59482288360596,2025-10-02 16:08:07.601812,1.0377984501714095,2.5995968457655754,3.479447294736179,1.842497647639182,8.0,3.267879101676271,1.3779904119559356,0.8798243910857985,6.25,0.9682458365518543,3.1418308122337857,0.2544813966759296,0.8594787071154444,0.0299148124522597,0.0,3.3812255859375,,,,,,
340.mid,pop909,/depot/yunglu/data/transcription/POP909/340/340.mid,120.2151427268982,2025-10-02 16:08:17.219624,1.205111963351654,2.8038777940941118,3.847627327678217,1.9943083279962357,9.0,4.131028833551771,1.6541944221130231,0.9206312800349497,7.625,0.8569568250501305,3.997991874282993,0.4944173019883854,0.9168475551962,0.0614911931579517,0.0,4.483874320983887,,,,,,
002.mid,pop909,/depot/yunglu/data/transcription/POP909/002/002.mid,124.23054075241089,2025-10-02 16:08:21.233108,1.4184491824219032,2.7734624617608157,3.916682465172062,1.7748373044752142,9.0,3.3197505458948484,1.591324675427459,0.8500619205629769,6.75,0.9682458365518543,3.2629592180972997,0.23202692360775293,0.8599439853168269,0.01719000645173708,0.0,5.131044626235962,,,,,,
747.mid,pop909,/depot/yunglu/data/transcription/POP909/747/747.mid,125.68453168869019,2025-10-02 16:08:22.668616,0.8369209967179939,3.231426392634086,4.003115443598066,1.7058531406323385,8.0,3.5963612908965596,1.434379502277293,0.9398441612360341,7.25,0.6614378277661477,3.5111617722835007,0.19164791265519043,0.9202158160490869,0.015804540672398504,0.0,5.012642860412598,,,,,,
566.mid,pop909,/depot/yunglu/data/transcription/POP909/566/566.mid,77.41704511642456,2025-10-02 16:08:28.415322,1.0325081128544396,2.704523056682136,3.3800391900016846,1.1412407367991635,11.0,3.7413695498633355,1.4799320154099516,0.9435833014336013,8.5,1.224744871391589,3.784498305704092,0.2003840125403033,0.9255105689481752,0.019651394562574816,0.0,5.008191823959351,,,,,,
777.mid,pop909,/depot/yunglu/data/transcription/POP909/777/777.mid,157.02694535255432,2025-10-02 16:08:54.017788,1.2802535819595815,2.6645545063957883,3.6101534316271904,1.5059949776328492,9.0,3.7738965638657027,1.6551900635093137,0.9126467968766186,7.625,0.8569568250501305,3.83503754987011,0.3979342264312729,0.9049995485242132,0.048203118169007964,0.0,3.7248048782348633,,,,,,
338.mid,pop909,/depot/yunglu/data/transcription/POP909/338/338.mid,167.46529865264893,2025-10-02 16:09:04.445193,1.3692923654468716,2.697046691368767,3.462361270253835,1.9273598085715677,7.0,3.796572013302631,1.158643123503947,0.9477801809344404,6.375,0.6959705453537527,3.8713516222746307,0.6129457011910908,0.9654476884227599,0.06863543107263131,0.0,3.404080867767334,,,,,,
789.mid,pop909,/depot/yunglu/data/transcription/POP909/789/789.mid,185.89668345451355,2025-10-02 16:09:22.882537,1.1949918026874757,2.805274879311949,3.7560494880621476,1.937464327522878,10.0,3.5325270908332103,1.7430119028375053,0.8960223515842717,7.875,1.165922381636102,3.5552856316386876,0.5069128460258706,0.8834053525752543,0.02136606256824599,0.0,3.472372531890869,,,,,,
082.mid,pop909,/depot/yunglu/data/transcription/POP909/082/082.mid,163.14635181427002,2025-10-02 16:09:29.760261,0.9284232370275582,2.703706921949656,3.9043344999054166,1.9194806180569453,8.0,3.4360851705789246,1.7193142249774278,0.8345946034583123,7.75,0.4330127018922193,3.3342852265720624,0.11372042528142277,0.832524513547269,0.024385733389848733,0.0,4.623536825180054,,,,,,
107.mid,pop909,/depot/yunglu/data/transcription/POP909/107/107.mid,133.26630187034607,2025-10-02 16:09:35.342741,1.083188999654922,2.7940203401528336,4.007146423326912,2.5860723738501306,9.0,3.5693875541174207,1.78961045987064,0.8671515129043265,7.875,0.7806247497997998,3.4439280004383592,0.36583311377463146,0.8459954920475183,0.06748193049267538,0.0,3.4057600498199463,,,,,,
