model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
MT3,MSMD,AndreJ__O34__andre-sonatine.wav,95.772154,2,1,0.966725,0.966725,0.966725,0.954468,1.0,1.0,1.0,0.937111,1.0,1.0,1.0,0.966725,0.966725,0.966725,108.852195
MT3,MSMD,Anonymous__lanative__lanative.wav,31.981134,2,1,0.928994,0.907514,0.918129,0.944669,1.0,0.976879,0.988304,0.911593,1.0,0.976879,0.988304,0.940828,0.919075,0.929825,106.070339
MT3,MSMD,Anonymous__lesgraces__lesgraces.wav,41.864127,2,1,0.963964,0.938596,0.951111,0.957878,1.0,0.973684,0.986667,0.936548,1.0,0.973684,0.986667,0.968468,0.942982,0.955556,104.408745
MT3,MSMD,BachCPE__cpe-bach-rondo__cpe-bach-rondo.wav,450.456961,2,11,0.61599,0.818815,0.703067,0.971329,0.717781,0.954123,0.819247,0.884549,0.736129,0.978513,0.840189,0.670162,0.890825,0.764897,136.836551
MT3,MSMD,BachJS__BWV1006a__bwv-1006a_1.wav,417.002812,2,10,0.777179,0.911022,0.838795,0.947277,0.833497,0.977038,0.899577,0.907997,0.842311,0.987371,0.909091,0.800686,0.938576,0.864165,133.774965
MT3,MSMD,BachJS__BWV1006a__bwv-1006a_2.wav,145.502041,2,6,0.674058,0.853933,0.753408,0.975992,0.762749,0.966292,0.85254,0.903152,0.773836,0.980337,0.864932,0.700665,0.88764,0.783147,111.946289
MT3,MSMD,BachJS__BWV1006a__bwv-1006a_3.wav,400.002902,2,7,0.709497,0.87687,0.784354,0.982997,0.789572,0.975834,0.872877,0.917206,0.795158,0.982739,0.879053,0.72905,0.901036,0.80597,126.815246
MT3,MSMD,BachJS__BWV1006a__bwv-1006a_4.wav,102.002358,2,5,0.780142,0.894309,0.833333,0.983951,0.843972,0.96748,0.901515,0.947138,0.851064,0.97561,0.909091,0.794326,0.910569,0.848485,112.184484
MT3,MSMD,BachJS__BWV1006a__bwv-1006a_5.wav,96.002902,2,4,0.621701,0.831373,0.711409,0.980872,0.72434,0.968627,0.828859,0.896135,0.733138,0.980392,0.838926,0.662757,0.886275,0.758389,107.927335
MT3,MSMD,BachJS__BWV1006a__bwv-1006a_6.wav,145.002812,2,5,0.666667,0.890141,0.762364,0.987333,0.727848,0.971831,0.832328,0.940363,0.736287,0.983099,0.841978,0.696203,0.929577,0.79614,112.539036
MT3,MSMD,BachJS__BWV1006a__bwv-1006a_7.wav,96.502132,2,7,0.74053,0.898851,0.812046,0.96989,0.808712,0.981609,0.886812,0.921794,0.814394,0.988506,0.893043,0.776515,0.942529,0.851506,109.005595
MT3,MSMD,BachJS__BWV1079__ricercare.wav,369.004263,2,2,0.926119,0.920121,0.92311,0.944703,0.993481,0.987047,0.990253,0.914849,0.995654,0.989206,0.992419,0.940461,0.93437,0.937405,127.468295
MT3,MSMD,BachJS__BWV1080__contrapunctusXII.wav,154.001995,2,2,0.947648,0.946929,0.947289,0.93463,0.995448,0.994693,0.99507,0.911735,0.997724,0.996967,0.997345,0.955994,0.955269,0.955631,115.929791
MT3,MSMD,BachJS__BWV1080__contrapunctusXIII.wav,124.802902,2,1,0.976721,0.975733,0.976227,0.947576,0.994939,0.993933,0.994436,0.938197,0.995951,0.994944,0.995448,0.977733,0.976744,0.977238,115.374839
MT3,MSMD,BachJS__BWV1080__contrapunctusXIV.wav,268.366077,2,1,0.944888,0.932713,0.938761,0.937673,0.999275,0.986399,0.992795,0.913316,1.0,0.987115,0.993516,0.952139,0.939871,0.945965,122.234901
MT3,MSMD,BachJS__BWV1080__contrapunctusXV.wav,261.603265,2,1,0.953676,0.943959,0.948793,0.957565,0.997794,0.987627,0.992685,0.936085,0.998529,0.988355,0.993416,0.956618,0.94687,0.951719,124.503372
MT3,MSMD,BachJS__BWV117a__BWV-117a.wav,48.002902,2,1,0.952381,0.93617,0.944206,0.948453,1.0,0.982979,0.991416,0.926267,1.0,0.982979,0.991416,0.961039,0.944681,0.95279,107.318749
MT3,MSMD,BachJS__BWV259__bwv-259.wav,48.002902,2,1,0.892377,0.872807,0.882483,0.983803,0.991031,0.969298,0.980044,0.940083,0.991031,0.969298,0.980044,0.90583,0.885965,0.895787,114.005386
MT3,MSMD,BachJS__BWV269__bwv_269.wav,52.50322,2,2,0.859729,0.855856,0.857788,0.969473,0.972851,0.968468,0.970655,0.913344,0.972851,0.968468,0.970655,0.886878,0.882883,0.884876,106.296123
MT3,MSMD,BachJS__BWV454__bwv_454.wav,59.145578,2,1,0.933333,0.918033,0.92562,0.974627,1.0,0.983607,0.991736,0.942545,1.0,0.983607,0.991736,0.933333,0.918033,0.92562,106.424639
MT3,MSMD,BachJS__BWV462__bwv_462.wav,54.860045,2,1,0.921687,0.874286,0.897361,0.965727,1.0,0.948571,0.973607,0.928714,1.0,0.948571,0.973607,0.927711,0.88,0.903226,106.745418
MT3,MSMD,BachJS__BWV510__BWV-510.wav,23.003719,2,1,0.915094,0.906542,0.910798,0.96319,1.0,0.990654,0.995305,0.903317,1.0,0.990654,0.995305,0.924528,0.915888,0.920188,105.627956
MT3,MSMD,BachJS__BWV511__BWV-511.wav,40.502857,2,1,0.951613,0.944,0.947791,0.983988,0.991935,0.984,0.987952,0.959007,0.991935,0.984,0.987952,0.951613,0.944,0.947791,107.804173
MT3,MSMD,BachJS__BWV512__BWV-512.wav,40.502857,2,1,0.962687,0.955556,0.959108,0.97945,1.0,0.992593,0.996283,0.95373,1.0,0.992593,0.996283,0.962687,0.955556,0.959108,108.070859
MT3,MSMD,BachJS__BWV515__anna-magdalena-20a.wav,27.431474,2,1,0.967391,0.917526,0.941799,0.951312,1.0,0.948454,0.973545,0.933276,1.0,0.948454,0.973545,0.967391,0.917526,0.941799,107.541248
MT3,MSMD,BachJS__BWV516__BWV-516.wav,64.002902,2,1,0.960938,0.938931,0.949807,0.979129,0.992188,0.969466,0.980695,0.963618,0.992188,0.969466,0.980695,0.960938,0.938931,0.949807,107.268298
MT3,MSMD,BachJS__BWV772__bach-invention-01.wav,66.004172,2,1,0.95186,0.949782,0.95082,0.944723,0.997812,0.995633,0.996721,0.920471,0.997812,0.995633,0.996721,0.954048,0.951965,0.953005,107.519702
MT3,MSMD,BachJS__BWV773__bach-invention-02.wav,101.252063,2,10,0.780619,0.914826,0.842411,0.952417,0.833109,0.976341,0.899056,0.911581,0.851952,0.998423,0.91939,0.812921,0.952681,0.877269,117.409772
MT3,MSMD,BachJS__BWV774__bach-invention-03.wav,66.753016,2,1,0.949084,0.941414,0.945233,0.941265,1.0,0.991919,0.995943,0.913611,1.0,0.991919,0.995943,0.953157,0.945455,0.94929,110.652187
MT3,MSMD,BachJS__BWV775__bach-invention-04.wav,52.003991,2,1,0.952273,0.945824,0.949037,0.93562,1.0,0.993228,0.996602,0.912313,1.0,0.993228,0.996602,0.961364,0.954853,0.958097,109.307077
MT3,MSMD,BachJS__BWV776__bach-invention-05.wav,73.147211,2,6,0.737069,0.93188,0.823105,0.915874,0.778017,0.983651,0.868833,0.883278,0.779095,0.985014,0.870036,0.757543,0.957766,0.845969,117.736734
MT3,MSMD,BachJS__BWV777__bach-invention-06.wav,139.502585,2,2,0.958029,0.959781,0.958904,0.966348,0.994526,0.996344,0.995434,0.951213,0.99635,0.998172,0.99726,0.959854,0.961609,0.960731,112.971396
MT3,MSMD,BachJS__BWV778__bach-invention-07.wav,61.336961,2,5,0.793169,0.883721,0.836,0.908171,0.874763,0.97463,0.922,0.859372,0.88425,0.985201,0.932,0.823529,0.917548,0.868,113.410666
MT3,MSMD,BachJS__BWV779__bach-invention-08.wav,66.670295,2,1,0.954622,0.949833,0.952221,0.933076,0.996639,0.991639,0.994132,0.908733,0.996639,0.991639,0.994132,0.954622,0.949833,0.952221,111.170286
MT3,MSMD,BachJS__BWV780__bach-invention-09.wav,65.110204,2,1,0.963964,0.958781,0.961366,0.940593,0.998198,0.992832,0.995508,0.925865,1.0,0.994624,0.997305,0.963964,0.958781,0.961366,111.370017
MT3,MSMD,BachJS__BWV781__bach-invention-10.wav,50.236372,2,6,0.862786,0.94533,0.902174,0.903048,0.908524,0.995444,0.95,0.870894,0.910603,0.997722,0.952174,0.873181,0.95672,0.913043,113.203215
MT3,MSMD,BachJS__BWV782__bach-invention-11.wav,64.944762,2,5,0.821981,0.934859,0.874794,0.913383,0.857585,0.975352,0.912685,0.880688,0.859133,0.977113,0.914333,0.843653,0.959507,0.897858,110.650447
MT3,MSMD,BachJS__BWV783__bach-invention-12.wav,70.00381,2,1,0.966374,0.964964,0.965668,0.921167,0.995614,0.994161,0.994887,0.908334,0.998538,0.99708,0.997809,0.972222,0.970803,0.971512,107.805491
MT3,MSMD,BachJS__BWV784__bach-invention-13.wav,60.003265,2,5,0.81182,0.925532,0.864954,0.9295,0.861586,0.98227,0.917978,0.898073,0.863142,0.984043,0.919635,0.825816,0.941489,0.879867,112.107162
MT3,MSMD,BachJS__BWV785__bach-invention-14.wav,73.848163,2,11,0.749662,0.935811,0.832457,0.917482,0.792963,0.989865,0.880541,0.892727,0.798376,0.996622,0.886551,0.772666,0.964527,0.858002,120.704827
MT3,MSMD,BachJS__BWV786__bach-invention-15.wav,50.288617,2,1,0.970213,0.955975,0.963041,0.949041,0.997872,0.983229,0.990496,0.936607,1.0,0.985325,0.992608,0.976596,0.962264,0.969377,109.178422
MT3,MSMD,BachJS__BWV787__bwv787.wav,72.002177,2,1,0.917857,0.912966,0.915405,0.933344,0.996429,0.991119,0.993767,0.893335,0.996429,0.991119,0.993767,0.941071,0.936057,0.938557,110.297979
MT3,MSMD,BachJS__BWV788__bwv788.wav,96.002902,2,2,0.919399,0.916894,0.918145,0.948207,0.991803,0.989101,0.99045,0.91493,0.993169,0.990463,0.991814,0.937158,0.934605,0.93588,110.978234
MT3,MSMD,BachJS__BWV789__bwv789.wav,85.717914,2,1,0.922374,0.90583,0.914027,0.946933,0.996956,0.979073,0.987934,0.907552,0.996956,0.979073,0.987934,0.936073,0.919283,0.927602,112.830437
MT3,MSMD,BachJS__BWV790__bwv790.wav,92.003265,2,1,0.903285,0.901639,0.902461,0.952459,0.992701,0.990893,0.991796,0.905854,0.994526,0.992714,0.993619,0.921533,0.919854,0.920693,110.162724
MT3,MSMD,BachJS__BWV791__bwv791.wav,124.366077,2,1,0.897619,0.882904,0.890201,0.959031,0.995238,0.978923,0.987013,0.915964,0.995238,0.978923,0.987013,0.92619,0.911007,0.918536,119.274526
MT3,MSMD,BachJS__BWV792__bwv792.wav,84.464036,2,1,0.89662,0.889546,0.893069,0.936965,1.0,0.99211,0.99604,0.895691,1.0,0.99211,0.99604,0.908549,0.901381,0.90495,116.035391
MT3,MSMD,BachJS__BWV793__bwv793.wav,99.004082,2,1,0.939944,0.926997,0.933426,0.952015,1.0,0.986226,0.993065,0.923912,1.0,0.986226,0.993065,0.945531,0.932507,0.938974,115.157664
